iter	Passed	Remaining
798	1267	318
799	1268	317
800	1270	315
801	1271	313
802	1273	312
803	1274	310
804	1276	309
805	1277	307
806	1278	305
807	1280	304
808	1281	302
809	1283	300
810	1284	299
811	1285	297
812	1287	296
813	1288	294
814	1290	292
815	1291	291
816	1292	289
817	1294	287
818	1295	286
819	1297	284
820	1298	283
821	1299	281
822	1301	279
823	1302	278
824	1304	276
825	1305	275
826	1307	273
827	1308	271
828	1310	270
829	1311	268
830	1313	267
831	1314	265
832	1315	263
833	1317	262
834	1318	260
835	1320	258
836	1321	257
837	1323	255
838	1324	254
839	1325	252
840	1327	250
841	1328	249
842	1330	247
843	1331	246
844	1332	244
845	1334	242
846	1336	241
847	1338	239
848	1339	238
849	1340	236
850	1342	235
851	1343	233
852	1345	231
853	1346	230
854	1348	228
855	1349	227
856	1351	225
857	1354	224
858	1356	222
859	1358	221
860	1359	219
861	1361	217
862	1362	216
863	1363	214
864	1365	213
865	1366	211
866	1368	209
867	1369	208
868	1371	206
869	1373	205
870	1374	203
871	1376	202
872	1377	200
873	1378	198
874	1380	197
875	1381	195
876	1383	193
877	1384	192
878	1386	190
879	1387	189
880	1388	187
881	1390	185
882	1391	184
883	1393	182
884	1394	181
885	1396	179
886	1397	178
887	1399	176
888	1400	174
889	1401	173
890	1403	171
891	1404	170
892	1406	168
893	1407	166
894	1408	165
895	1410	163
896	1412	162
897	1414	160
898	1416	159
899	1417	157
900	1419	155
901	1420	154
902	1422	152
903	1423	151
904	1425	149
905	1426	148
906	1427	146
907	1429	144
908	1431	143
909	1432	141
910	1434	140
911	1435	138
912	1437	136
913	1438	135
914	1440	133
915	1441	132
916	1443	130
917	1445	129
918	1446	127
919	1448	125
920	1449	124
921	1451	122
922	1452	121
923	1453	119
924	1455	118
925	1456	116
926	1458	114
927	1460	113
928	1461	111
929	1463	110
930	1464	108
931	1466	106
932	1467	105
933	1469	103
934	1471	102
935	1472	100
936	1474	99
937	1475	97
938	1477	95
939	1478	94
940	1480	92
941	1481	91
942	1483	89
943	1484	88
944	1486	86
945	1487	84
946	1489	83
947	1490	81
948	1492	80
949	1494	78
950	1495	77
951	1497	75
952	1498	73
953	1500	72
954	1501	70
955	1503	69
956	1504	67
957	1506	66
958	1507	64
959	1509	62
960	1510	61
961	1512	59
962	1513	58
963	1515	56
964	1517	55
965	1519	53
966	1520	51
967	1522	50
968	1524	48
969	1525	47
970	1527	45
971	1529	44
972	1530	42
973	1532	40
974	1533	39
975	1535	37
976	1536	36
977	1538	34
978	1540	33
979	1541	31
980	1543	29
981	1545	28
982	1546	26
983	1548	25
984	1549	23
985	1551	22
986	1553	20
987	1554	18
988	1556	17
989	1558	15
990	1559	14
991	1561	12
992	1562	11
993	1564	9
994	1566	7
995	1567	6
996	1569	4
997	1571	3
998	1572	1
999	1574	0
